,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
172,2007-02-24 00:34:10+00:00,2007-02-24 00:34:10+00:00,"['Tanya L. Crenshaw', 'Erin Wolf Chambers', 'Heather Metcalf', 'Umesh Thakkar']",,,cs.GL,"['cs.GL', 'K.3.2']",cs/0702141,1
173,2006-10-20 21:33:17+00:00,2006-10-20 21:33:17+00:00,['Serban E. Vlad'],,,cs.GL,['cs.GL'],cs/0610127,1
174,2020-07-17 05:04:37+00:00,2020-07-17 05:04:37+00:00,"['Fabio S. Priuli', 'Claudia Violante']",,,cs.GL,"['cs.GL', 'cs.CR', 'stat.OT']",2008.03122,1
175,2007-05-05 12:04:52+00:00,2007-05-05 12:04:52+00:00,"['V. Sundaram', 'K. P. N. Murthy']",,,cs.GL,['cs.GL'],0705.0742,1
176,2007-12-16 21:00:02+00:00,2007-12-16 21:00:02+00:00,['David Chadwick'],"IFIP, Integrity and Internal Control in Information Systems, Vol
  24, pp. 205-211, Kluwer, 2003",,cs.GL,"['cs.GL', 'J.1; H.4.1; K.6.4; D.2.9']",0712.2594,1
177,2008-01-25 01:09:47+00:00,2008-01-25 01:09:47+00:00,"['Alberto Pepe', 'Johan Bollen']",,,cs.CL,"['cs.CL', 'cs.GL']",0801.3864,1
178,2022-04-06 21:09:27+00:00,2022-04-06 21:09:27+00:00,"['David Leslie', 'Michael Katell', 'Mhairi Aitken', 'Jatinder Singh', 'Morgan Briggs', 'Rosamund Powell', 'Cami Rincón', 'Thompson Chengeta', 'Abeba Birhane', 'Antonella Perini', 'Smera Jayadeva', 'Anjali Mazumder']",,10.5281/zenodo.6408304,cs.CY,"['cs.CY', 'cs.AI', 'cs.GL', 'cs.HC']",2204.03090,1
179,2017-08-23 19:32:55+00:00,2017-08-23 19:32:55+00:00,['Hung Cao'],,,cs.NI,"['cs.NI', 'cs.GL']",1708.07160,1
180,2020-10-23 21:24:57+00:00,2020-10-23 21:24:57+00:00,"['Clarice D. Aiello', 'D. D. Awschalom', 'Hannes Bernien', 'Tina Brower-Thomas', 'Kenneth R. Brown', 'Todd A. Brun', 'Justin R. Caram', 'Eric Chitambar', 'Rosa Di Felice', 'Michael F. J. Fox', 'Stephan Haas', 'Alexander W. Holleitner', 'Eric R. Hudson', 'Jeffrey H. Hunt', 'Robert Joynt', 'Scott Koziol', 'H. J. Lewandowski', 'Douglas T. McClure', 'Jens Palsberg', 'Gina Passante', 'Kristen L. Pudenz', 'Christopher J. K. Richardson', 'Jessica L. Rosenberg', 'R. S. Ross', 'Mark Saffman', 'M. Singh', 'David W. Steuerman', 'Chad Stark', 'Jos Thijssen', 'A. Nick Vamivakas', 'James D. Whitfield', 'Benjamin M. Zwickl']",Quantum Sci. Technol. 6 030501 (2021),10.1088/2058-9565/abfa64,physics.ed-ph,"['physics.ed-ph', 'cs.ET', 'cs.GL', 'quant-ph']",2010.13778,1
181,2022-01-05 17:53:34+00:00,2022-01-05 17:53:34+00:00,['Corneliu Arsene'],,,physics.soc-ph,"['physics.soc-ph', 'cs.GL']",2201.02046,1
182,2020-06-21 16:35:09+00:00,2020-06-21 16:35:09+00:00,"['Sergei Levashkin', 'Victor Alexandrov', 'Adolfo Guzmán-Arenas']",,,cs.GL,"['cs.GL', '01-02, 68-03, 68Qxx, 68Rxx, 68Txx, 68Uxx, 68Vxx, 68Wxx, 94-03, 94Axx', 'A.1; F.2; G.2; K.2']",2006.11842,1
183,2016-07-04 12:40:15+00:00,2016-07-04 12:40:15+00:00,['Adam Loy'],The UMAP Journal 36 (2015) 285-292,,stat.OT,"['stat.OT', 'cs.GL']",1607.00858,1
184,2018-07-05 21:32:18+00:00,2018-07-05 21:32:18+00:00,['Yehia Elkhatib'],"4th Workshop on Curricula and Teaching Methods in Cloud Computing,
  Big Data, and Data Science, 2017",10.1109/CloudCom.2017.58,cs.GL,"['cs.GL', 'cs.LG', 'stat.ML']",1807.03750,1
185,2006-07-07 01:17:05+00:00,2006-07-07 01:17:05+00:00,['G. A. Maney'],,,cs.GL,['cs.GL'],cs/0607022,1
186,2012-06-20 20:14:13+00:00,2012-06-20 20:14:13+00:00,['Serban E. Vlad'],,,cs.GL,"['cs.GL', '94C99']",1206.4708,1
187,2011-07-23 12:12:12+00:00,2011-07-23 12:12:12+00:00,"['J. A. Bergstra', 'G. P. A. J. Delen', 'S. F. M. van Vlijmen']",,,cs.SE,"['cs.SE', 'cs.GL', 'K.6.0; J.4; H.4.0; D.0']",1107.4684,1
188,1991-11-01 00:00:00+00:00,1991-11-01 00:00:00+00:00,['Donald E. Knuth'],"Theoretical Comp. Sci. 90 (1991), 1--15",,cs.GL,['cs.GL'],cs/9301114,1
189,2020-04-16 20:14:20+00:00,2020-04-16 20:14:20+00:00,"['George Fletcher', 'Paul Groth', 'Juan Sequeda']",,,cs.DB,"['cs.DB', 'cs.CY', 'cs.GL']",2004.07917,1
190,2009-07-30 21:06:19+00:00,2009-07-30 21:06:19+00:00,"['Muhammad Sohail', 'Abdur Rashid Khan']","International Journal of Computer Science and Information
  Security, IJCSIS, July 2009, Volume 3. No.1",,cs.CY,"['cs.CY', 'cs.GL']",0907.5429,1
191,2022-05-03 03:56:17+00:00,2022-05-03 03:56:17+00:00,"['Ruoting Wu', 'Yuxin Zhang', 'Qibiao Peng', 'Liang Chen', 'Zibin Zheng']",,,cs.SE,"['cs.SE', 'cs.AI', 'cs.GL', 'cs.PL']",2205.01293,1
192,2021-07-29 14:31:44+00:00,2021-07-29 14:31:44+00:00,"['Stephen L. France', 'Mahyar Sharif Vaghefi', 'Brett Kazandjian']",,,cs.DL,"['cs.DL', 'cs.GL', 'H.4.0; I.5.3; I.7.0']",2107.14019,1
193,2011-12-07 19:44:48+00:00,2011-12-07 19:44:48+00:00,"['Casey Bennett', 'Thomas Doub', 'April Bragg', 'Jason Luellen', 'Christina Van Regenmorter', 'Jennifer Lockman', 'Randall Reiserer']","First IEEE International Conference on Healthcare Informatics,
  Imaging and Systems Biology (HISB). (2011). 229-236",10.1109/HISB.2011.20,cs.AI,"['cs.AI', 'cs.GL']",1112.1670,1
194,2007-06-04 17:17:44+00:00,2007-06-04 17:17:44+00:00,['David R. Wright'],,,cs.GL,"['cs.GL', 'K.7.4']",0706.0484,1
195,2008-04-16 15:43:27+00:00,2008-04-16 15:43:27+00:00,['Christoph Schommer'],,,cs.GL,"['cs.GL', 'K.3.2; A.2']",0804.2621,1
196,2019-07-11 08:52:25+00:00,2019-07-11 08:52:25+00:00,"[""V. V. V'yugin""]",,,cs.GL,"['cs.GL', 'cs.IT', 'math.IT']",1907.05056,1
197,2023-03-24 01:46:27+00:00,2023-03-24 01:46:27+00:00,['Raúl Rojas'],,,cs.GL,"['cs.GL', 'D.0; K.2']",2303.13740,1
198,2021-07-26 18:52:00+00:00,2021-07-26 18:52:00+00:00,"['José Suárez-Varela', 'Miquel Ferriol-Galmés', 'Albert López', 'Paul Almasan', 'Guillermo Bernárdez', 'David Pujol-Perich', 'Krzysztof Rusek', 'Loïck Bonniot', 'Christoph Neumann', 'François Schnitzler', 'François Taïani', 'Martin Happ', 'Christian Maier', 'Jia Lei Du', 'Matthias Herlich', 'Peter Dorfinger', 'Nick Vincent Hainke', 'Stefan Venz', 'Johannes Wegener', 'Henrike Wissing', 'Bo Wu', 'Shihan Xiao', 'Pere Barlet-Ros', 'Albert Cabellos-Aparicio']","ACM SIGCOMM Computer Communication Review, Vol. 51, No. 3, pp.
  9-16, 2021",10.1145/3477482.3477485,cs.NI,"['cs.NI', 'cs.AI', 'cs.GL', 'cs.LG']",2107.12433,1
199,2021-04-07 21:00:38+00:00,2021-04-07 21:00:38+00:00,"['Krzysztof R. Apt', 'Tony Hoare']",,,cs.GL,"['cs.GL', 'A.1']",2104.03392,1
200,2022-06-12 03:50:19+00:00,2022-06-12 03:50:19+00:00,['Nick Zhang'],,,cs.GL,['cs.GL'],2206.05274,1
201,2021-03-09 02:29:44+00:00,2021-03-09 02:29:44+00:00,"['Daniel Zhang', 'Saurabh Mishra', 'Erik Brynjolfsson', 'John Etchemendy', 'Deep Ganguli', 'Barbara Grosz', 'Terah Lyons', 'James Manyika', 'Juan Carlos Niebles', 'Michael Sellitto', 'Yoav Shoham', 'Jack Clark', 'Raymond Perrault']",,,cs.AI,"['cs.AI', 'cs.GL']",2103.06312,1
202,2021-01-11 19:55:09+00:00,2021-01-11 19:55:09+00:00,['Michael Lissack'],,,cs.CY,"['cs.CY', 'cs.AI', 'cs.GL', 'physics.hist-ph']",2101.10098,1
203,2023-01-07 18:55:04+00:00,2023-01-07 18:55:04+00:00,['Thomas J. Misa'],"In Robin Hammerman and Andrew L. Russell, eds., Ada's Legacy:
  Cultures of Computing from the Victorian to the Digital Age. Association for
  Computing Machinery and Morgan & Claypool, 2015",10.1145/2809523.2809527,math.HO,"['math.HO', 'cs.CY', 'cs.GL', 'F.1; G.0; K.2']",2301.02919,1
